"id","age","female","educ","educ3","marital","union","ses","income","relig","bornswe","foreignpar","urban","county","land","polint","inteff","dem_pref","dem_courts","dem_strong","dem_women","run_business","run_experts","run_referenda","demlevel","tr_parl","tr_govt","tr_court","tr_sci","tr_party","tr_media","tr_socmed","govperf","govcovid","econ","satvote","satchoice","satdem","fair","exteff","fairgroups","health","pand_unity","pand_dem","pand_fin","covid","news_tv","news_web","news_soc","like_s","like_sd","like_m","like_v","like_c","like_kd","like_mp","like_l","lead_andersson","lead_akesson","lead_kristersson","lead_dadgostar","lead_loof","lead_busch","lead_stenevi","lead_pehrson","lr_s","lr_sd","lr_m","lr_v","lr_c","lr_kd","lr_mp","lr_l","lr_self","turnout","vote","prevvote","switched","bloc","vote_sd","vote_right","vote_inc","pid","pid_close","wt"
"0000001944",78,0,4,"No degree","Married",0,"White collar",2,1,1,0,2,"Västra Götaland","Götaland",3,5,5,3,2,4,1,4,5,8,3,3,2,2,,2,1,2,2,2,4,4,3,5,5,3,2,3,3,3,1,4,5,0,5,10,8,3,3,8,1,5,5,10,7,2,2,8,0,6,1,9,9,0,4,9,1,7,7,1,"SD","SD",0,"Right",1,1,0,1,2,0.7541
"0000001945",81,0,9,"Postgraduate","Divorced",0,"White collar",3,2,1,0,3,"Västra Götaland","Götaland",3,4,5,4,1,1,1,1,1,6,2,2,2,3,1,3,1,2,3,2,2,2,2,4,3,2,1,3,3,2,0,2,4,1,4,0,4,1,2,2,1,4,4,3,2,1,1,2,1,3,3,10,8,0,5,7,1,5,4,1,"L","M",1,"Right",0,1,0,0,1,0.5409
"0000001949",84,1,2,"No degree","Widowed",0,"Worker",1,1,1,0,1,"Dalarna","Svealand",3,4,5,3,3,4,1,1,4,8,3,3,3,3,3,2,2,3,3,2,,3,3,5,4,2,2,3,4,3,0,7,0,6,8,2,2,4,6,1,4,6,8,2,2,4,5,0,2,6,2,9,10,0,6,10,3,8,4,1,,,,,,,,1,2,1.1014
"0000000062",40,0,8,"Postgraduate","Single",1,,4,1,1,0,4,"Stockholm","Svealand",3,5,5,5,5,3,2,3,1,9,3,3,4,4,2,3,2,3,3,1,3,3,3,5,4,3,3,2,3,4,1,4,6,7,6,0,3,4,5,0,6,5,7,0,0,4,6,0,5,2,3,7,8,1,6,10,4,5,5,1,"MP","S",1,"Left",0,0,0,0,,1.0805
"0000002340",70,1,7,"Bachelor","Divorced",1,,1,4,1,0,2,"Stockholm","Svealand",4,5,4,4,2,2,1,4,4,5,4,3,3,3,1,1,1,3,2,1,3,4,3,5,5,2,1,4,2,1,1,7,0,0,10,0,4,4,7,3,9,4,9,0,4,1,7,3,3,,1,10,10,0,4,10,4,7,1,1,"S","S",0,"Left",0,0,1,1,2,0.6191
"0000001954",74,1,7,"Bachelor","Divorced",1,"White collar",2,4,1,0,2,"Västerbotten","Norrland",4,4,5,1,1,1,1,1,1,10,4,3,3,3,3,3,2,,3,,,3,3,5,5,3,2,3,3,3,1,7,5,7,6,2,5,5,6,5,6,6,6,4,5,5,6,5,6,6,4,8,6,3,5,6,4,5,,1,,,,,,,,0,,0.5247
"0000001959",88,0,2,"No degree","Widowed",0,"Self-employed",1,2,1,0,2,"Västra Götaland","Götaland",2,2,5,,,,,,5,6,4,2,2,4,2,3,1,3,3,2,3,2,3,4,5,2,1,2,4,3,0,6,,,10,0,3,2,7,7,10,6,10,0,1,2,5,9,9,6,1,10,10,0,7,4,2,6,5,1,"S","S",0,"Left",0,0,1,0,1,1.1092
"0000001985",69,1,6,"No degree","Single",0,"Worker",2,1,1,0,2,"Halland","Götaland",4,5,5,5,1,2,1,1,1,8,3,3,4,4,3,4,2,3,4,2,3,4,4,5,5,3,4,4,5,3,0,7,0,7,8,0,0,9,4,0,10,4,9,0,1,9,10,0,10,5,2,10,10,0,5,9,1,8,,1,"MP",,,"Left",0,0,0,1,3,0.6191
"0000001408",79,1,6,"No degree","Widowed",0,"White collar",1,6,1,0,1,"Kalmar","Götaland",3,5,5,5,1,3,1,1,3,5,3,3,2,2,3,3,,3,3,2,3,3,3,4,4,3,4,5,4,4,0,7,2,0,3,9,6,1,0,9,0,0,8,10,8,5,0,9,2,6,0,10,10,0,3,10,2,4,9,1,"KD","KD",0,"Right",0,1,0,1,2,0.5247
"0000001907",76,1,2,"No degree","Widowed",0,"Worker",1,2,1,0,2,"Västra Götaland","Götaland",3,4,5,4,3,3,3,3,3,8,3,3,3,3,2,3,2,3,2,3,,,3,5,3,3,3,3,,3,0,7,0,0,8,4,8,5,8,8,7,7,8,5,8,6,8,8,5,5,4,8,9,1,6,6,4,5,6,1,,,,,,,,0,,0.7489
"0000001974",77,1,4,"No degree","Widowed",0,"White collar",2,1,1,0,1,"Västra Götaland","Götaland",3,5,5,5,1,1,1,1,1,8,3,3,3,4,3,3,1,3,3,3,3,3,4,5,3,3,3,3,3,3,0,7,0,1,6,5,5,5,6,5,6,7,7,5,4,6,3,5,5,7,1,10,10,0,4,9,2,4,,1,"L","MP",1,"Right",0,1,0,0,,0.8153
"0000002600",75,0,4,"No degree","Married",0,"White collar",,1,1,0,2,"Västerbotten","Norrland",3,5,5,2,2,1,1,1,4,9,3,3,3,3,3,3,2,3,3,2,3,3,3,5,5,3,3,3,3,3,0,5,0,0,,,,,,,,,10,0,3,5,6,1,7,5,4,10,8,1,5,9,,5,,1,"S","S",0,"Left",0,0,1,1,2,0.7541
"0000001280",55,1,3,"No degree","Married",1,"Worker",5,1,1,0,4,"Västernorrland","Norrland",2,4,5,5,3,4,3,3,3,6,3,3,2,3,2,3,2,2,2,1,3,3,3,5,4,2,3,3,3,3,1,2,3,7,6,4,5,5,5,8,5,5,7,6,7,5,5,8,5,5,0,10,10,0,0,10,0,5,7,1,"KD","KD",0,"Right",0,1,0,0,2,1.0931
"0000002733",68,0,6,"No degree","Divorced",1,"White collar",2,1,1,0,1,"Västra Götaland","Götaland",4,4,5,5,5,5,5,3,5,3,2,1,1,3,2,1,2,1,1,1,3,4,2,4,3,2,3,2,2,3,,1,7,3,1,9,6,1,1,6,0,2,2,9,8,5,0,8,0,4,1,9,8,0,2,8,0,5,7,1,"SD","S",1,"Right",1,1,0,0,2,0.6234
"0000000488",51,1,6,"No degree","Divorced",0,"White collar",1,3,1,,1,"Dalarna","Svealand",2,4,5,5,1,1,1,1,1,10,4,4,4,4,3,4,3,3,3,2,4,3,3,5,4,2,3,4,5,3,1,1,1,7,9,0,2,10,8,0,10,0,9,0,0,7,8,0,0,0,2,10,8,0,5,9,3,8,0,1,"S","S",0,"Left",0,0,1,1,1,1.1901
"0000001354",22,1,4,"No degree","Single",1,"Worker",2,1,1,0,2,"Skåne","Götaland",2,4,5,4,2,3,2,3,3,8,3,3,3,4,2,3,2,3,3,1,3,4,3,2,5,3,3,2,3,2,1,0,7,7,10,0,3,10,7,1,8,5,10,2,7,10,9,4,8,6,2,9,8,,4,,2,,2,1,"S",,,"Left",0,0,1,0,2,2.2604
"0000002748",74,0,2,"No degree","Divorced",1,"Worker",2,2,1,0,1,"Västmanland","Svealand",3,4,,4,,,,,4,5,,,,,,,,3,3,3,3,3,3,4,2,3,3,,,,0,,,,9,9,,8,,,,,,7,,,,8,,,,,,,,,,,,,"S","S",0,"Left",0,0,1,1,2,1.0469
"0000001992",61,0,3,"No degree","Divorced",0,"White collar",1,1,0,,1,"Halland","Götaland",3,3,5,5,3,4,3,4,2,10,3,3,,,2,2,,3,4,5,3,3,4,5,,3,4,5,5,4,1,7,1,0,,,,,,,,,9,,7,8,7,7,,,0,6,10,0,7,9,6,5,0,1,"S",,,"Left",0,0,1,1,3,1.1008
"0000002346",80,1,3,"No degree","Married",0,"White collar",2,3,1,0,2,"Södermanland","Svealand",4,4,5,1,3,3,,,3,8,3,2,3,3,2,2,2,1,1,1,,4,3,3,4,3,1,3,3,3,1,7,7,7,0,9,9,1,3,9,0,1,2,9,9,2,2,9,0,6,5,9,10,0,5,9,4,6,9,1,"KD","SD",1,"Right",0,1,0,1,2,0.7489
"0000001993",81,0,2,"No degree","Married",0,"Worker",2,2,1,0,1,"Örebro","Svealand",2,4,5,5,5,5,1,1,1,5,3,3,3,3,3,3,2,2,3,4,3,3,3,5,5,3,4,4,4,5,0,7,7,0,6,9,7,2,5,9,5,5,10,9,6,1,5,3,5,5,3,9,9,2,5,8,2,4,8,1,"SD","M",1,"Right",1,1,0,0,1,1.1092
"0000000625",25,1,7,"Bachelor","Single",1,"White collar",3,2,1,0,3,"Stockholm","Svealand",4,5,4,4,2,3,2,4,4,7,3,3,2,3,3,2,2,2,3,1,4,3,3,4,4,4,2,3,3,5,1,7,6,7,6,8,9,4,6,0,1,5,8,8,5,1,8,0,6,1,4,10,8,1,,9,0,6,7,1,"M","V",1,"Right",0,1,0,1,2,1.1407
"0000002275",74,1,7,"Bachelor","Divorced",0,"White collar",3,1,1,0,3,"Stockholm","Svealand",3,5,5,1,4,2,,,,,,,,,,,,,,2,,,3,5,3,3,1,4,4,3,0,7,7,2,8,6,8,7,0,5,0,7,8,8,3,6,0,5,0,6,5,10,8,1,4,9,1,6,7,,,"S",,,,,,0,2,0.6191
