"F1003_2","F1004","F1006_NAM","F1101_2","F2001_A","F2002","F2003","F2004","F2005","F2006","F2008","F2009","F2010_1","F2012","F2015","F2016","F2018","F2020","F3001","F3002_1","F3002_5","F3002_6_1","F3003","F3004_1","F3004_2","F3004_3","F3004_4","F3005_1","F3005_2","F3005_3","F3006","F3007_1","F3007_2","F3007_3","F3007_4","F3007_5","F3007_6","F3007_7","F3008_1","F3008_2","F3009","F3010","F3011_LH_PL","F3011_OUTGOV","F3012_1","F3013","F3014","F3015_LH","F3016_LH_PL","F3017","F3018_A","F3018_B","F3018_C","F3018_D","F3018_E","F3018_F","F3018_G","F3018_H","F3019_A","F3019_B","F3019_C","F3019_D","F3019_E","F3019_F","F3019_G","F3019_H","F3020_A","F3020_B","F3020_C","F3020_D","F3020_E","F3020_F","F3020_G","F3020_H","F3020_R","F3022","F3023_1","F3023_4","F3026","F3027","F3028_1","F3028_2","F3028_3","F3028_4"
"0000002197","SWE_2022","Sweden",1.6396,19,0,4,4,0,6,9,9,5,1,752,0,12,2,1,7,3,7,1,2,1,1,5,5,5,4,8,2,4,2,2,4,1,3,3,3,5,1,752004,0,9,2,1,0,999999,5,4,0,0,10,4,0,7,6,2,0,0,3,8,0,5,1,3,8,8,0,6,10,3,6,1,4,1,2,3,3,4,3,2,1
"0000000569","SWE_2022","Sweden",0.7712,52,0,7,1,1,1,1,4,4,1,752,1,12,1,2,7,6,7,2,1,2,5,4,5,5,4,7,2,2,2,2,2,2,3,2,1,4,1,752005,0,4,1,1,1,752005,5,6,0,5,7,10,5,0,1,9,0,6,6,10,0,0,5,2,10,8,0,5,9,2,7,4,2,1,1,3,3,3,3,3,1
"0000000566","SWE_2022","Sweden",1.073,39,1,8,1,1,1,1,1,5,1,752,0,22,2,2,3,3,7,2,1,3,4,4,5,5,5,9,1,1,1,1,2,2,3,2,2,5,1,752005,0,1,1,1,1,752005,4,8,0,5,4,9,5,7,7,8,0,7,4,9,4,5,5,2,10,8,1,5,7,3,6,4,2,0,2,3,2,4,3,3,1
"0000000560","SWE_2022","Sweden",1.073,32,1,7,1,1,5,1,1,5,1,752,0,5,1,4,0,0,0,3,3,3,3,3,2,2,3,5,3,2,2,2,3,3,3,2,3,4,1,752003,0,2,4,3,1,752003,3,5,5,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,9,3,5,5,5,5,5,4,0,9,2,2,3,3,4,1
"0000000547","SWE_2022","Sweden",0.7658,41,1,99,3,9,99,9,9,9,9,752,0,5,9,2,99,99,99,9,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,9,9,9,99,999999,999999,9,9,9,99,999999,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,9,9,9,9,9
"0000000546","SWE_2022","Sweden",0.821,66,0,4,1,1,1,1,1,4,2,752,0,24,1,2,1,5,6,2,1,4,2,5,5,5,3,9,2,2,1,2,2,3,4,1,2,3,1,752005,0,1,1,1,1,752005,5,7,0,6,5,10,0,0,4,10,0,6,6,9,0,1,6,0,6,10,0,5,10,2,10,7,1,1,2,2,2,2,2,2,0
"0000000545","SWE_2022","Sweden",1.0805,27,0,7,4,1,1,1,1,2,3,752,0,25,2,1,7,7,7,1,1,2,5,5,5,5,5,9,1,1,1,1,2,1,3,3,1,4,1,752005,0,4,5,1,1,752005,4,5,1,2,4,7,2,6,3,6,2,2,5,6,2,5,3,6,6,7,3,7,7,4,7,7,2,0,9,2,2,3,3,2,1
"0000000543","SWE_2022","Sweden",0.7658,60,1,8,4,1,1,1,1,3,2,752,0,7,1,1,7,7,1,1,1,3,5,5,5,5,5,8,1,2,1,1,2,1,4,2,2,4,1,752008,0,1,2,1,1,752003,4,5,4,6,5,4,6,4,8,6,6,6,5,4,5,4,6,5,5,8,3,5,8,3,6,6,2,1,2,2,4,2,2,2,0
"0000000540","SWE_2022","Sweden",1.1008,47,0,4,1,1,1,1,2,5,1,752,0,1,1,1,7,4,7,1,1,1,5,4,5,4,4,7,3,2,2,1,3,2,2,2,2,2,1,752004,0,2,2,2,1,752004,5,6,0,2,9,6,1,7,4,7,0,1,7,7,0,8,2,4,7,8,2,5,9,4,7,3,2,0,2,3,4,4,3,2,1
"0000000538","SWE_2022","Sweden",0.7712,54,0,7,1,1,1,1,1,5,2,752,0,14,2,1,7,7,7,1,1,2,5,3,5,5,5,9,2,2,2,1,2,2,3,2,2,4,1,752008,0,1,1,1,1,752008,5,9,2,6,2,8,2,3,9,9,2,6,1,8,2,2,9,6,2,8,1,6,9,4,7,7,1,1,2,2,1,2,2,2,1
"0000002755","SWE_2022","Sweden",0.7541,95,0,3,1,0,7,9,9,2,2,752,9,5,2,2,7,0,0,1,1,1,3,3,5,5,3,10,1,1,2,2,2,2,2,2,2,3,1,752001,1,1,1,1,1,752001,5,8,5,5,5,5,5,5,5,8,5,5,5,5,5,5,5,0,5,10,0,5,5,5,5,0,2,1,2,2,1,3,3,3,0
"0000001417","SWE_2022","Sweden",1.0396,69,1,6,3,0,7,1,1,2,2,752,0,17,2,2,3,99,99,1,1,1,2,5,2,2,3,8,9,9,9,9,4,2,3,2,2,4,1,752001,1,4,4,1,1,752001,4,8,9,7,7,8,7,1,6,7,9,7,6,7,8,1,6,6,9,9,2,6,9,1,8,7,2,0,2,3,3,1,2,3,0
"0000001630","SWE_2022","Sweden",1.5176,62,1,6,3,1,1,9,2,2,1,752,0,1,3,2,4,1,0,2,1,4,5,5,5,9,9,6,2,3,2,3,3,4,4,2,2,3,1,752001,1,2,4,2,1,752007,5,9,0,3,5,8,0,9,1,9,0,3,8,10,0,5,1,3,10,9,0,5,9,3,8,5,9,1,2,3,3,5,3,4,1
"0000000541","SWE_2022","Sweden",0.7658,45,1,7,4,1,1,1,1,2,1,901,9,1,3,2,2,7,7,2,1,2,3,5,5,3,4,9,2,1,2,1,2,1,3,2,2,4,1,752007,0,1,1,1,1,752004,5,9,0,1,10,5,1,10,5,9,2,5,8,9,2,10,4,1,10,9,0,5,9,2,6,1,1,0,2,3,2,3,3,3,1
"0000001592","SWE_2022","Sweden",1.3555,25,0,5,4,0,1,2,2,1,1,752,0,8,2,3,99,4,2,3,2,9,9,9,5,5,2,9,3,3,2,1,3,2,3,2,2,5,1,752004,0,2,2,2,1,752007,4,5,0,5,8,5,1,5,3,7,0,2,8,5,1,5,5,5,10,7,0,5,8,2,8,1,2,1,2,1,2,4,3,3,1
"0000002373","SWE_2022","Sweden",1.5176,55,1,99,3,9,99,9,9,9,9,752,1,10,9,4,0,0,4,3,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,9,9,9,99,999999,999999,9,9,9,99,999999,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,9,9,9,9,9
"0000000533","SWE_2022","Sweden",0.5247,73,1,8,2,1,7,1,1,2,3,752,0,3,1,2,6,4,0,3,1,3,3,3,5,5,5,8,2,2,2,2,3,3,3,2,2,4,1,999999,999999,9,2,2,1,999999,3,5,0,5,5,5,0,5,5,5,4,5,4,5,4,5,5,1,10,10,1,6,6,5,7,5,2,0,9,3,2,4,2,3,1
