"F1003_2","F1004","F1006_NAM","F1101_2","F2001_A","F2002","F2003","F2004","F2005","F2006","F2008","F2009","F2010_1","F2012","F2015","F2016","F2018","F2020","F3001","F3002_1","F3002_5","F3002_6_1","F3003","F3004_1","F3004_2","F3004_3","F3004_4","F3005_1","F3005_2","F3005_3","F3006","F3007_1","F3007_2","F3007_3","F3007_4","F3007_5","F3007_6","F3007_7","F3008_1","F3008_2","F3009","F3010","F3011_LH_PL","F3011_OUTGOV","F3012_1","F3013","F3014","F3015_LH","F3016_LH_PL","F3017","F3018_A","F3018_B","F3018_C","F3018_D","F3018_E","F3018_F","F3018_G","F3018_H","F3019_A","F3019_B","F3019_C","F3019_D","F3019_E","F3019_F","F3019_G","F3019_H","F3020_A","F3020_B","F3020_C","F3020_D","F3020_E","F3020_F","F3020_G","F3020_H","F3020_R","F3022","F3023_1","F3023_4","F3026","F3027","F3028_1","F3028_2","F3028_3","F3028_4"
"0000002777","SWE_2022","Sweden",0.5247,71,1,7,4,9,7,1,1,2,1,752,0,20,1,1,99,99,0,1,1,3,3,5,5,5,5,8,1,1,1,1,3,2,3,2,2,5,1,752001,1,1,4,1,1,752001,5,9,0,1,8,3,1,6,5,10,0,0,7,3,1,5,5,3,10,8,2,6,8,3,7,2,1,1,2,3,1,4,3,3,0
"0000000146","SWE_2022","Sweden",1.275,33,0,99,1,1,1,1,2,4,9,752,0,12,4,3,1,0,7,4,1,1,2,3,2,2,3,8,3,3,4,2,3,3,4,4,2,4,1,752002,0,1,1,1,1,752003,4,0,8,7,0,1,7,0,3,0,7,7,0,1,7,0,2,3,10,8,0,3,8,2,6,9,2,0,2,2,1,3,3,3,1
"0000000659","SWE_2022","Sweden",0.7712,58,0,8,1,1,1,2,2,4,1,752,1,1,3,2,6,1,0,2,1,1,4,4,4,2,4,9,2,2,2,2,3,2,3,2,3,4,1,752003,0,2,4,1,1,752003,5,6,0,8,2,7,6,1,7,4,6,5,6,4,3,0,6,99,99,99,99,99,99,99,99,99,1,9,2,3,3,9,9,9,9
"0000002326","SWE_2022","Sweden",1.1014,85,1,2,1,0,7,2,9,1,1,752,0,24,2,3,0,0,0,3,1,5,1,1,5,2,1,6,2,2,2,2,3,2,2,2,2,3,1,752001,1,2,2,4,1,752001,5,9,5,5,8,7,5,8,5,9,5,5,5,7,5,5,5,2,5,5,0,5,5,5,5,0,2,1,1,2,1,9,9,3,0
"0000001089","SWE_2022","Sweden",0.7658,60,1,8,3,1,1,1,1,4,3,752,0,1,3,1,7,7,7,1,1,1,5,5,5,5,5,10,1,1,1,1,1,1,2,1,1,4,1,752003,0,2,2,1,1,752008,5,10,3,9,8,8,5,6,8,10,8,10,3,8,3,5,7,2,9,8,1,6,7,5,7,4,1,1,1,1,1,2,2,9,1
"0000002761","SWE_2022","Sweden",0.7489,73,1,2,3,0,7,2,1,1,2,752,0,14,2,3,3,99,99,1,2,2,2,9,5,5,9,9,3,3,9,9,9,9,9,3,3,4,1,752002,0,1,2,3,1,752002,4,3,9,8,0,0,7,0,4,4,9,9,0,0,7,0,0,5,10,10,0,1,9,0,8,9,4,1,2,3,3,3,3,4,0
"0000000465","SWE_2022","Sweden",1.073,40,1,7,4,1,1,2,1,4,2,752,0,1,3,2,1,7,7,1,1,2,4,5,5,2,2,7,3,2,2,1,2,1,3,1,1,3,1,752001,1,1,1,1,1,999999,5,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,10,10,99,7,10,1,10,0,2,9,1,4,2,9,9,9,9
"0000000130","SWE_2022","Sweden",0.5372,65,1,9,1,1,1,9,9,5,1,752,0,14,4,1,0,7,4,1,1,2,5,4,5,5,5,8,2,1,1,1,2,1,3,2,2,4,1,752005,0,2,2,2,1,752008,4,6,0,4,6,6,3,6,6,6,0,2,5,8,1,7,5,3,10,8,1,6,9,5,7,6,1,0,9,2,2,2,2,3,0
"0000000861","SWE_2022","Sweden",0.91,53,0,4,1,1,1,1,2,5,1,752,1,1,4,1,2,7,4,1,1,2,2,3,2,2,5,10,2,2,2,2,2,2,3,3,2,4,1,752003,0,2,2,1,1,752003,5,6,7,9,0,4,7,3,6,3,7,8,1,3,7,1,5,4,9,8,0,6,8,2,5,8,1,0,2,2,1,2,3,3,1
"0000001098","SWE_2022","Sweden",1.1901,48,1,6,1,1,1,1,2,4,2,752,0,12,1,2,3,99,99,2,1,1,5,9,3,4,3,7,3,3,3,3,3,2,3,2,2,5,1,752001,1,1,2,2,1,752001,4,9,2,5,4,3,4,7,6,7,4,5,4,0,3,6,5,2,5,8,2,5,5,4,5,5,1,1,2,3,1,2,2,3,1
"0000001350","SWE_2022","Sweden",1.6674,28,1,4,4,1,3,2,2,1,2,752,0,12,1,3,0,2,7,2,3,3,1,3,3,2,1,7,3,3,3,1,2,2,2,4,3,5,1,752002,0,1,2,1,1,752003,5,0,10,8,1,0,7,2,5,0,10,8,2,1,8,0,5,0,9,9,0,3,7,3,5,9,2,1,3,2,2,3,5,3,1
"0000000015","SWE_2022","Sweden",0.7712,59,0,7,3,1,1,1,2,4,2,752,1,12,2,3,0,1,0,2,1,2,2,3,5,5,5,9,2,2,1,2,2,2,3,2,2,4,1,752002,0,2,2,1,1,752002,3,5,7,7,3,5,7,5,5,6,8,5,5,6,8,5,5,5,8,8,2,6,8,3,6,8,2,1,2,2,3,3,3,3,0
"0000000936","SWE_2022","Sweden",1.1008,59,0,3,1,1,1,1,2,4,1,752,0,14,3,2,5,3,7,2,1,1,5,3,5,3,9,8,2,3,2,2,3,1,3,2,2,4,1,752001,1,1,2,1,1,752001,5,9,1,3,8,5,1,7,2,8,2,2,8,5,0,3,7,3,10,9,0,3,9,2,7,2,1,1,2,3,3,3,3,3,1
"0000001113","SWE_2022","Sweden",0.91,41,0,6,3,1,1,2,2,2,1,752,0,4,1,2,0,7,7,1,4,1,2,2,4,2,1,3,3,4,4,3,4,4,4,4,3,5,1,752006,0,2,4,4,1,752003,2,0,2,4,1,0,6,0,0,0,5,5,2,0,9,0,0,2,8,7,1,3,8,2,3,6,4,0,3,4,4,5,5,4,1
"0000002034","SWE_2022","Sweden",0.5247,77,1,8,1,9,7,1,9,3,1,752,0,1,4,2,7,1,4,2,1,3,5,3,5,5,5,10,1,1,1,1,2,1,9,1,1,3,1,752001,1,1,1,1,1,752001,5,10,0,5,8,8,1,9,5,10,0,5,8,8,5,9,5,3,10,10,0,5,9,3,5,99,2,1,1,2,3,1,1,1,0
"0000000100","SWE_2022","Sweden",1.1008,59,0,3,1,1,1,4,2,3,2,752,0,14,1,2,0,4,0,1,1,1,5,5,5,5,5,9,1,1,1,1,2,2,4,2,3,2,1,752004,0,2,4,1,1,752005,4,7,0,5,6,10,0,1,6,7,0,2,8,10,0,2,6,3,10,9,0,5,10,0,6,7,2,1,2,2,2,2,3,3,1
"0000000967","SWE_2022","Sweden",1.0931,64,1,3,4,1,1,2,2,1,3,752,0,21,2,3,5,0,7,2,1,5,5,3,5,5,2,9,2,2,2,2,9,3,3,2,2,4,1,752001,1,1,1,1,1,752001,5,10,0,5,8,8,5,8,5,10,0,5,8,8,1,5,5,0,5,10,0,6,6,6,10,1,2,1,1,2,2,2,3,3,1
"0000001122","SWE_2022","Sweden",1.5423,39,0,8,1,1,5,1,1,4,3,901,9,5,2,2,1,7,7,1,1,1,3,4,5,3,5,4,2,3,2,2,3,2,3,2,2,5,1,752005,0,2,4,1,1,752005,4,9,0,1,7,10,0,7,1,10,0,0,9,10,0,9,0,2,10,10,0,5,10,0,10,5,1,1,2,2,2,3,3,3,1
"0000001142","SWE_2022","Sweden",1.7726,21,1,4,4,0,6,2,1,2,1,752,0,4,2,3,0,0,0,9,3,9,2,3,2,1,5,7,3,3,3,1,3,2,3,2,2,4,1,752001,1,2,4,2,0,999999,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,99,99,99,99,99,99,99,99,99,4,0,9,3,3,4,3,3,1
"0000002057","SWE_2022","Sweden",1.0469,74,0,2,1,0,7,2,2,1,1,752,1,17,2,3,1,1,2,3,2,2,2,2,3,3,3,5,3,3,2,2,3,3,3,3,3,3,1,999999,999999,9,4,3,1,999999,3,5,5,5,5,5,5,5,5,9,10,3,3,0,3,0,2,0,10,1,0,0,2,2,3,5,4,0,9,2,3,3,3,3,0
"0000001149","SWE_2022","Sweden",1.6674,34,1,4,1,1,5,2,1,3,2,752,0,19,1,3,1,1,5,2,1,1,1,2,3,1,5,5,3,3,3,2,3,3,3,4,4,4,1,752002,0,1,1,3,1,752002,4,0,10,5,0,0,5,0,5,0,10,7,0,0,5,0,5,0,10,10,0,0,10,0,0,10,4,1,9,3,2,4,4,3,1
"0000001153","SWE_2022","Sweden",1.7726,20,1,4,4,0,1,2,1,9,1,752,0,14,1,2,6,5,7,2,1,3,4,5,5,2,5,9,3,3,2,1,3,2,3,2,2,5,1,752003,0,2,2,2,99,999999,5,8,5,8,6,3,3,6,5,9,4,7,8,3,3,3,5,2,10,9,0,6,10,4,9,5,1,0,9,3,3,4,3,3,1
"0000001203","SWE_2022","Sweden",1.2661,28,1,7,1,0,6,2,2,2,1,752,1,1,4,2,5,7,5,2,1,2,2,2,5,2,3,9,2,2,2,2,2,3,3,2,2,4,1,752001,1,1,2,1,1,752003,4,10,0,1,5,10,0,7,5,10,0,0,4,10,0,5,4,3,10,8,0,5,9,4,7,3,1,1,1,3,3,4,3,3,1
"0000001156","SWE_2022","Sweden",1.275,32,0,6,4,9,6,9,9,1,2,752,0,1,3,9,99,99,99,9,9,9,9,9,9,2,1,8,2,2,2,2,3,2,3,3,2,2,1,752008,0,4,2,1,99,999999,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,4,10,8,0,4,9,0,6,5,2,0,2,3,3,2,3,4,1
"0000001458","SWE_2022","Sweden",1.1008,58,0,7,4,9,2,3,2,5,1,752,1,14,1,1,7,0,0,1,4,2,1,2,2,2,4,7,1,2,4,4,3,2,4,4,1,4,1,752003,0,1,2,1,1,752003,4,5,10,10,0,0,8,0,5,5,10,9,0,0,8,0,5,0,10,10,0,0,10,0,5,10,4,1,1,3,2,2,2,1,0
"0000001589","SWE_2022","Sweden",1.1901,46,1,5,3,0,1,2,1,2,1,752,0,4,2,3,0,7,7,3,1,3,2,3,5,4,2,7,2,2,3,2,3,3,3,2,3,5,1,999992,0,1,2,3,1,752001,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,0,9,9,9,3,3,4,1
"0000001161","SWE_2022","Sweden",0.7658,55,1,4,1,1,5,2,2,2,1,900,9,18,2,3,0,2,2,2,9,9,1,9,9,9,5,2,2,2,3,1,3,4,4,3,1,3,1,752001,1,4,4,2,1,752001,4,9,5,5,9,5,5,5,5,5,5,5,5,5,5,5,10,2,0,0,2,0,0,0,0,2,4,0,3,3,2,1,3,1,0
"0000000177","SWE_2022","Sweden",0.7712,57,0,8,1,1,1,1,2,5,1,901,9,1,3,2,5,6,5,1,1,1,2,1,5,5,2,10,3,2,3,1,2,2,3,2,2,5,1,752003,0,4,2,1,1,999999,5,8,0,9,0,8,5,6,9,9,0,9,99,8,6,4,99,3,10,9,0,5,8,2,6,7,1,0,9,4,3,5,1,3,1
"0000002786","SWE_2022","Sweden",2.2604,21,1,5,4,0,6,9,9,1,1,752,0,3,3,2,0,5,7,3,1,2,2,3,3,3,2,6,2,2,3,2,2,3,3,3,2,5,1,752002,0,2,2,2,0,999999,4,3,7,8,0,3,8,0,5,8,7,8,0,3,8,0,5,2,9,8,0,3,8,2,5,7,2,0,2,2,2,4,3,5,1
"0000001166","SWE_2022","Sweden",0.9037,50,1,7,1,1,1,2,4,3,6,752,0,12,1,2,7,5,7,2,1,1,5,2,5,4,1,6,2,3,2,1,3,2,3,3,2,5,1,752006,0,2,1,1,1,752002,5,5,10,9,6,0,10,0,7,0,10,9,7,0,10,0,8,4,5,8,2,4,7,0,6,6,2,0,2,2,2,5,4,3,1
"0000002174","SWE_2022","Sweden",0.7489,70,1,3,1,1,7,2,2,1,3,752,0,6,1,2,7,7,5,2,1,1,2,2,5,5,5,7,3,3,3,3,3,2,3,3,3,5,1,999999,999999,9,2,1,1,752006,5,5,6,9,4,5,5,2,7,5,6,8,5,5,5,3,8,1,10,99,0,4,10,4,5,9,2,0,3,3,2,3,3,3,1
"0000001174","SWE_2022","Sweden",1.1984,45,0,4,1,1,1,4,2,3,4,752,0,6,1,2,1,0,0,2,1,3,2,2,5,5,5,8,1,2,2,2,2,2,3,3,2,5,1,752002,0,1,1,1,1,752002,5,2,10,9,0,0,9,0,2,5,10,9,1,0,9,1,5,2,10,9,0,2,9,1,5,10,2,1,2,2,3,2,2,3,1
"0000001178","SWE_2022","Sweden",1.0931,52,1,4,3,1,1,2,1,2,1,752,0,14,1,3,2,3,2,3,2,2,2,2,3,3,3,5,3,3,4,2,3,3,2,4,2,4,1,752003,0,1,1,1,99,999999,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,10,10,0,10,10,0,10,10,2,1,9,3,2,3,3,3,1
"0000001916","SWE_2022","Sweden",0.6191,66,1,5,1,1,7,9,1,2,1,752,0,14,1,2,7,3,2,1,1,2,3,1,5,2,3,7,2,2,2,1,3,2,3,2,2,3,1,752001,1,1,2,1,1,752001,5,10,0,0,5,5,0,8,0,10,0,0,6,8,0,99,0,3,10,10,0,5,10,4,10,3,1,1,1,3,3,2,1,1,1
"0000001187","SWE_2022","Sweden",1.1901,55,1,3,1,0,1,2,2,2,2,752,0,12,2,2,7,0,3,2,1,2,2,1,5,5,5,8,1,1,1,1,1,2,3,3,2,4,1,752002,0,1,2,1,99,999999,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,4,10,10,0,5,10,2,10,10,1,0,9,2,2,5,2,3,1
"0000001702","SWE_2022","Sweden",1.1008,48,0,4,1,0,1,4,1,2,3,900,9,14,3,3,0,3,2,3,4,2,1,1,3,3,2,4,3,4,4,3,3,2,2,3,2,4,0,999999,999999,9,4,3,0,999999,3,9,9,5,3,5,8,5,3,7,9,5,2,3,2,6,6,8,9,99,99,99,99,5,1,5,4,0,9,3,3,2,4,2,8
"0000000180","SWE_2022","Sweden",0.9037,49,1,4,1,1,1,1,2,5,2,752,0,14,2,3,0,1,0,2,1,1,2,3,5,5,5,8,2,2,2,2,3,3,4,2,2,3,1,752001,1,1,1,1,1,752001,5,7,2,5,5,5,5,5,5,7,6,4,5,6,6,5,5,4,6,7,3,5,6,4,5,6,2,0,9,2,2,4,3,3,1
"0000002791","SWE_2022","Sweden",0.7658,64,1,8,1,0,7,1,2,4,2,752,0,14,1,2,6,2,7,1,1,1,2,4,4,1,5,9,2,2,2,2,2,9,9,2,2,4,1,752003,0,1,4,1,1,752008,4,6,8,9,0,3,9,1,9,10,8,10,0,2,10,0,8,5,10,10,0,3,9,0,7,8,2,1,1,2,2,2,2,3,1
"0000002792","SWE_2022","Sweden",0.8153,72,1,4,1,0,7,1,2,2,1,752,0,8,2,3,5,1,7,2,1,3,4,5,4,2,5,8,2,2,2,2,2,2,3,2,2,4,1,752001,1,1,1,1,1,752001,3,9,0,2,8,6,3,7,4,10,0,1,7,6,3,7,5,2,10,9,0,5,7,3,6,2,2,0,2,3,3,2,3,3,0
"0000002305","SWE_2022","Sweden",0.821,79,0,4,1,0,7,1,2,4,1,752,0,1,3,2,7,7,0,1,1,9,9,9,3,2,5,10,1,2,2,2,2,2,4,3,3,2,1,752003,0,1,2,1,1,752003,5,5,7,9,5,99,7,3,7,5,8,9,6,4,8,3,7,4,8,9,2,3,8,2,6,7,2,0,2,2,2,2,2,3,0
"0000001638","SWE_2022","Sweden",1.1008,52,0,3,4,1,1,2,2,2,1,752,1,4,3,9,99,99,99,9,9,9,9,9,3,3,3,6,3,3,3,2,3,3,4,4,2,5,1,752002,0,1,2,1,1,752002,3,1,10,5,5,0,5,0,4,3,8,0,5,0,7,0,6,8,5,10,0,2,7,0,4,5,2,0,9,3,3,3,3,3,0
"0000001200","SWE_2022","Sweden",0.9037,54,1,99,1,9,99,9,9,9,9,752,0,12,9,3,2,1,5,2,2,1,3,3,2,2,3,10,3,3,2,2,2,2,3,4,4,9,1,999999,999999,9,1,9,1,752003,4,1,8,9,2,2,8,0,5,2,9,8,5,0,7,0,5,2,8,8,0,2,7,0,7,7,9,9,9,9,9,9,9,9,9
"0000000770","SWE_2022","Sweden",1.0805,33,0,8,1,0,1,1,1,4,1,752,0,14,2,2,1,7,7,2,1,1,5,3,3,2,4,8,1,1,1,1,3,2,3,3,3,5,1,752003,0,2,2,2,1,752003,4,5,9,9,4,3,8,0,6,6,10,10,7,1,9,0,4,6,6,8,1,4,10,0,5,8,1,0,2,2,2,2,3,3,1
"0000002494","SWE_2022","Sweden",0.7489,77,1,3,3,0,7,1,2,1,2,752,1,9,1,2,7,0,0,3,1,3,2,4,3,3,3,8,2,2,3,2,2,2,4,2,2,5,1,752001,1,1,1,2,1,752001,3,9,9,5,7,7,7,6,5,10,10,5,6,6,7,6,6,4,8,10,0,8,8,2,8,3,2,1,2,4,4,3,3,3,1
"0000000979","SWE_2022","Sweden",0.9037,62,1,3,1,0,2,1,4,1,2,752,0,5,1,9,7,99,7,2,1,1,2,5,5,5,5,8,2,2,2,2,2,3,3,3,3,9,1,752006,0,1,1,4,1,999999,5,5,8,7,6,7,10,6,8,7,8,7,7,7,10,7,8,2,10,9,0,2,8,3,7,8,4,1,2,3,3,2,4,5,0
"0000000421","SWE_2022","Sweden",0.7712,56,0,99,1,1,1,1,1,5,9,752,0,1,3,2,7,3,0,2,1,1,5,4,5,3,5,8,1,1,2,2,2,1,3,2,1,5,1,752001,1,1,1,1,1,752001,4,10,0,5,6,5,1,6,3,10,1,5,7,7,0,8,3,3,10,8,1,7,9,4,7,99,1,1,1,2,2,3,3,3,1
"0000001211","SWE_2022","Sweden",1.1008,49,0,5,1,1,1,1,2,2,1,752,0,10,2,2,4,6,0,2,1,1,5,5,5,4,3,9,2,2,1,1,2,2,4,2,1,3,1,752001,1,1,1,1,1,752001,5,10,0,5,5,8,0,9,5,10,0,2,4,9,0,6,5,5,10,10,0,8,10,5,8,6,1,1,1,2,2,4,3,3,1
"0000001213","SWE_2022","Sweden",1.1984,43,0,4,1,0,1,4,2,4,1,752,0,14,3,1,4,5,7,1,1,1,5,3,3,3,1,10,2,2,2,2,3,2,3,2,1,4,1,752005,0,1,1,1,1,752005,3,7,0,6,6,9,5,6,7,6,0,5,5,7,0,5,5,4,7,10,0,6,6,3,5,5,1,1,2,3,2,3,3,4,1
"0000001216","SWE_2022","Sweden",1.7726,19,1,4,4,0,5,9,9,3,3,752,0,14,1,2,0,2,7,3,1,3,4,5,4,2,2,8,2,2,2,2,3,2,3,2,3,3,1,752004,0,2,4,2,99,999999,4,8,0,3,9,8,3,6,4,8,0,4,9,6,4,5,5,1,10,8,0,4,8,4,7,1,2,0,2,3,3,3,3,3,1
"0000001530","SWE_2022","Sweden",1.6791,28,0,4,4,0,1,2,1,2,2,752,0,21,1,3,0,0,1,2,1,1,1,3,4,2,2,6,3,3,3,2,3,3,4,2,3,4,1,752002,0,1,2,3,1,752002,4,5,9,7,0,5,5,0,5,5,10,8,0,4,7,99,5,1,10,7,0,3,7,0,4,99,4,1,3,3,1,3,3,3,1
"0000000007","SWE_2022","Sweden",0.7658,52,1,7,3,1,1,1,2,5,1,752,1,22,2,1,7,7,7,2,1,2,5,3,3,3,3,8,3,4,3,2,4,4,4,4,3,5,1,752002,0,2,2,1,1,752003,5,0,8,8,0,0,8,0,5,0,9,7,4,0,10,0,7,3,7,8,0,4,9,0,5,10,2,0,3,3,3,4,3,3,1
"0000001221","SWE_2022","Sweden",1.7726,25,1,8,4,0,6,2,2,1,2,752,0,12,4,3,1,2,7,3,2,2,5,3,5,5,2,7,3,3,3,2,3,2,2,3,3,5,1,752003,0,2,2,3,1,752007,4,6,8,9,8,7,1,2,3,8,9,9,9,8,1,1,1,3,10,8,0,4,10,1,5,5,4,0,9,3,3,3,3,3,1
"0000000308","SWE_2022","Sweden",0.5247,65,1,7,1,1,2,1,1,2,2,752,0,19,2,2,7,0,5,2,1,2,5,5,5,5,4,8,1,2,2,1,2,1,3,1,2,4,1,752001,1,1,1,1,1,752001,5,9,0,2,7,2,0,8,3,10,1,1,7,2,0,9,5,2,10,10,0,5,10,4,8,2,2,1,1,3,3,3,2,3,1
"0000001231","SWE_2022","Sweden",1.0396,66,1,5,1,0,7,2,2,2,4,752,0,13,1,3,5,4,3,2,1,2,1,2,3,3,2,4,3,3,3,2,3,3,3,3,3,5,1,999999,999999,9,2,2,1,999999,3,5,7,7,5,4,7,1,6,6,7,7,4,2,7,1,6,4,7,8,2,3,7,1,5,6,5,0,3,3,3,4,3,3,1
"0000001247","SWE_2022","Sweden",1.1901,61,1,5,4,0,1,2,1,4,1,900,1,1,4,3,2,7,7,2,1,1,5,5,5,4,1,2,2,9,2,2,4,3,4,2,3,4,1,752001,1,1,4,2,1,752001,1,10,0,0,3,3,0,7,5,10,0,0,0,5,0,0,2,4,10,10,4,99,10,5,7,0,4,0,9,3,4,2,2,2,0
"0000002586","SWE_2022","Sweden",1.1092,79,0,99,1,0,7,2,2,1,9,752,9,6,1,2,7,6,1,2,2,2,2,3,5,5,5,9,2,2,3,9,2,3,3,2,2,3,1,752006,0,2,2,2,1,752006,3,8,2,7,6,7,8,7,6,8,7,8,7,7,8,7,7,99,99,99,99,99,99,99,99,7,2,0,3,3,2,9,9,9,8
"0000000937","SWE_2022","Sweden",1.275,38,0,6,1,1,2,1,1,4,1,752,0,14,2,2,5,7,5,1,1,1,3,3,2,1,4,8,2,2,3,1,3,3,4,4,4,4,1,752006,0,1,2,2,1,752003,3,3,6,8,0,3,9,0,8,3,9,7,1,0,10,0,10,2,3,10,0,4,9,2,7,9,2,0,2,3,2,4,3,2,8
"0000001250","SWE_2022","Sweden",0.5247,75,1,7,3,0,7,1,1,3,1,752,0,1,4,1,7,0,0,2,1,1,5,3,5,5,5,8,3,3,2,2,3,3,3,3,3,5,1,752008,0,2,4,1,1,999999,3,1,0,6,0,4,6,0,9,99,99,99,99,99,99,99,99,3,10,8,0,5,8,0,7,7,4,1,2,2,4,5,3,3,0
"0000002036","SWE_2022","Sweden",0.7489,73,1,2,1,0,7,2,1,1,2,752,0,3,1,3,7,0,0,4,5,5,5,5,5,5,5,99,4,4,4,4,4,4,4,3,3,3,1,752001,1,4,4,9,1,752001,9,10,99,99,99,99,99,99,99,10,4,8,7,9,8,8,7,99,99,99,99,99,99,99,99,99,9,9,9,9,9,9,9,9,9
"0000001253","SWE_2022","Sweden",1.0931,47,1,4,4,1,2,2,2,4,1,752,0,3,2,3,4,7,7,3,1,1,5,5,3,3,3,8,2,2,2,2,2,2,2,2,2,4,1,752003,0,2,2,1,1,752003,5,5,2,9,5,5,5,5,5,4,0,4,2,6,6,2,5,99,99,99,99,99,99,99,99,99,2,0,2,2,2,4,3,3,1
"0000001258","SWE_2022","Sweden",1.5316,40,1,5,4,1,1,2,1,1,2,752,0,10,2,3,99,6,7,3,2,2,2,1,3,3,3,8,2,9,9,2,3,2,3,2,1,5,1,752001,1,2,2,2,1,752001,4,10,0,5,8,8,5,8,5,10,0,5,6,10,3,5,6,0,10,9,0,0,9,0,8,1,2,0,3,3,2,1,3,3,1
"0000001262","SWE_2022","Sweden",1.073,27,1,7,4,1,10,2,1,1,1,752,0,1,3,3,0,2,7,3,1,2,4,2,5,5,1,7,2,2,3,1,2,1,2,2,3,4,1,752005,0,1,1,2,1,752005,4,8,3,7,7,10,7,6,7,9,5,5,8,10,7,5,5,2,10,9,0,5,8,4,7,3,2,0,9,3,2,3,3,3,1
"0000002795","SWE_2022","Sweden",0.5247,82,1,7,2,0,7,2,1,1,6,752,0,14,2,1,7,4,7,1,1,2,2,4,4,4,1,7,2,2,2,2,2,2,2,3,2,4,1,752006,0,1,1,1,1,752006,5,4,8,10,0,8,10,3,9,4,8,10,0,8,99,3,9,3,10,10,0,5,9,2,8,8,1,1,2,2,3,2,2,2,1
"0000001272","SWE_2022","Sweden",1.1901,61,1,3,4,1,1,2,1,3,2,752,0,5,1,2,4,5,0,2,1,2,2,4,3,2,4,9,3,2,2,2,3,2,3,3,2,5,1,752002,0,9,2,1,1,752003,5,5,10,9,1,2,9,0,6,5,10,10,5,5,10,5,7,3,9,9,0,2,9,0,7,9,2,1,1,2,3,2,2,3,1
"0000001273","SWE_2022","Sweden",1.346,25,1,3,4,1,6,2,4,1,1,752,0,1,2,3,0,0,7,2,1,2,4,3,5,2,4,8,2,2,2,1,2,2,3,3,2,5,1,752001,1,2,4,4,1,752001,3,9,2,6,3,7,1,5,3,8,0,6,4,6,2,3,5,99,99,99,99,99,99,99,99,99,4,1,2,3,2,4,3,2,1
"0000002224","SWE_2022","Sweden",0.6191,72,1,7,1,0,7,1,1,3,1,752,0,12,1,3,2,0,7,2,1,3,2,3,9,3,9,8,3,3,3,2,2,2,2,2,1,3,1,752003,0,2,1,1,1,752008,2,8,7,10,5,5,5,8,10,8,5,10,5,5,0,5,9,3,10,9,1,3,4,3,6,7,2,0,9,2,3,3,2,3,1
"0000000327","SWE_2022","Sweden",0.7712,52,0,8,1,0,1,1,2,5,1,752,0,1,3,1,7,7,7,1,1,1,5,3,5,5,5,7,2,3,3,4,3,2,3,4,4,4,1,752003,0,1,2,1,1,999992,2,2,5,9,2,0,8,0,3,5,7,9,9,0,99,0,5,3,5,9,1,1,9,1,6,10,2,1,2,3,3,4,3,3,1
"0000000169","SWE_2022","Sweden",0.91,43,0,7,4,1,1,4,2,5,1,752,0,19,2,1,4,7,7,1,2,4,2,1,5,4,1,9,2,2,3,2,3,3,3,3,2,4,1,752003,0,2,2,3,1,752003,4,2,9,10,0,3,8,0,7,3,9,9,0,2,7,0,7,3,8,9,0,4,8,1,7,9,4,1,1,2,2,2,3,3,0
"0000001279","SWE_2022","Sweden",0.7658,53,1,8,1,0,1,1,2,5,2,752,0,12,1,3,2,3,99,2,1,2,5,3,5,5,5,10,2,2,2,2,2,2,3,2,2,4,1,752005,0,1,2,1,1,752003,4,7,0,5,6,10,2,5,5,9,2,5,99,9,0,2,99,2,10,9,1,5,9,3,6,4,1,0,9,3,2,2,2,3,1
"0000000531","SWE_2022","Sweden",0.7712,51,0,8,1,1,1,1,1,5,1,752,1,1,3,1,2,4,3,1,1,1,3,4,4,4,2,8,2,2,1,2,2,2,3,2,2,2,1,752008,0,2,1,1,1,752008,5,6,0,8,6,5,4,3,9,7,3,7,6,6,4,6,6,2,5,9,1,5,8,3,7,7,2,1,2,2,1,3,3,2,0
"0000001284","SWE_2022","Sweden",0.9037,49,1,5,1,1,5,2,1,3,1,752,0,12,1,4,0,3,0,5,2,1,2,3,5,2,4,10,3,3,2,2,3,2,4,2,2,2,1,752007,0,1,2,2,1,752007,5,7,1,2,7,2,2,9,5,5,5,5,5,5,5,5,5,2,8,10,0,5,6,2,5,2,2,0,3,3,2,2,3,3,0
"0000001529","SWE_2022","Sweden",1.2661,36,1,6,4,1,5,2,2,2,1,752,0,14,4,2,6,4,0,2,2,2,4,1,5,2,3,4,2,2,2,3,4,2,4,3,3,4,1,752001,1,2,2,3,1,752004,2,8,3,4,8,5,0,8,3,5,3,3,4,4,3,4,3,0,10,7,2,5,8,4,6,1,4,0,9,3,2,2,4,2,0
"0000001180","SWE_2022","Sweden",0.5283,66,0,6,1,0,2,4,2,5,2,752,0,24,2,2,7,7,0,2,1,3,2,5,5,5,5,9,1,2,1,2,2,2,3,2,2,3,1,752005,0,2,1,1,1,752005,5,8,0,8,2,9,1,5,3,9,0,10,3,10,1,7,3,99,10,99,0,5,10,5,8,99,2,0,3,2,3,1,2,3,1
