"iso3","country","region","income","lit_f","lit_m","lit_year","gdp","life","women","pop"
"PRI","Puerto Rico (US)","Latin America & Caribbean ","High income",92.4,92.4,2017,44216,81.9,NA,3202521
"ROU","Romania","Europe & Central Asia","High income",99.3,99,2021,40504,76.5,19.2,19051804
"RUS","Russian Federation","Europe & Central Asia","High income",99.9,99.9,2021,41891,73.4,16.4,143669648
"RWA","Rwanda","Sub-Saharan Africa ","Low income",76.7,81,2022,3325,68,63.8,14256567
"WSM","Samoa","East Asia & Pacific","Upper middle income",97.7,98.3,2019,7687,71.8,13,218019
"SMR","San Marino","Europe & Central Asia","High income",99.9,99.9,2022,70952,85.8,35,33977
"STP","Sao Tome and Principe","Sub-Saharan Africa ","Lower middle income",82.8,92.5,2019,5512,69.9,14.5,235536
"SAU","Saudi Arabia","Middle East, North Africa, Afghanistan & Pakistan","High income",96.7,98.6,2024,63194,79,19.9,35300280
"SEN","Senegal","Sub-Saharan Africa ","Lower middle income",41.5,61.5,2023,4478,68.9,41.2,18501984
"SRB","Serbia","Europe & Central Asia","Upper middle income",99.1,99.6,2022,26901,76,38,6586476
"SLE","Sierra Leone","Sub-Saharan Africa ","Low income",33.9,54.6,2019,3099,62,29.5,8642022
"SGP","Singapore","East Asia & Pacific","High income",96.4,98.9,2021,134549,83.3,29.3,6036860
"SOM","Somalia, Fed. Rep.","Sub-Saharan Africa ","Low income",43.9,64.5,2022,1409,59,19.6,19009151
"ZAF","South Africa","Sub-Saharan Africa ","Upper middle income",90.8,91.5,2024,13598,66.3,44.7,64007187
"ESP","Spain","Europe & Central Asia","High income",99.6,99.8,2021,48460,83.9,44.3,48848840
"LKA","Sri Lanka","South Asia","Upper middle income",92.1,93.5,2024,13793,77.7,10,21916000
"SYR","Syrian Arab Republic","Middle East, North Africa, Afghanistan & Pakistan","Low income",91.8,97.2,2021,4579,72.6,9.6,24672760
"TZA","Tanzania","Sub-Saharan Africa ","Lower middle income",73.1,84.2,2022,3713,67.2,37.4,68560157
"THA","Thailand","East Asia & Pacific","Upper middle income",91.5,90.7,2022,21882,76.6,19.4,71668011
"TLS","Timor-Leste","East Asia & Pacific","Lower middle income",65.7,73.1,2022,3891,67.9,35.4,1400638
"TGO","Togo","Sub-Saharan Africa ","Lower middle income",63.7,82.8,2022,3351,62.9,18.6,8406558
"TON","Tonga","East Asia & Pacific","Upper middle income",99.6,99.3,2023,7181,73.1,7.1,104175
"TUN","Tunisia","Middle East, North Africa, Afghanistan & Pakistan","Lower middle income",80.1,92.7,2023,12775,76.7,15.7,12277109
"TUR","Turkiye","Europe & Central Asia","Upper middle income",95.3,99.3,2021,36154,77.4,19.9,85518661
